연번,시도,시군구,주소,"운영시간
(A: 외래진료,
B: 외래진료 및 입원)"
94,경기,연천군,연천공설운동장 (연천군 연천읍 문화로 150),(평일) 09:00~17:00 (점심시간) 12:00~13:00
95,경기,가평군,가평군 보건소 (가평군 가화로 155-18),(평일) 09:00~16:00 (주말) 09:00~13:00 (점심시간) 12:00~13:00
96,경기,양평군,양평군보건소 주차장 (경기도 양평군 양평읍 마유산로 17),(평일) 09:00~17:00 (점심시간) 12:00~13:00
97,광주광역시 ,서구,광주광역시청,(평일)09:00~18:00 (주말)09:00~18:00 (12.27~)
98,전라북도,군산시,월명체육관(군산시 번영로 281),(평일)10:00~17:00 월&화&수&목 운영 (3.17~)
99,전라북도,완주군,봉동읍 둔산리 임시선별검사소 (전북 완주군 봉동읍 둔산 3로 94),(평일)9:00~17:00 (주말)9:00~17:00 (3.15~)
100,전라남도,순천시,문화건강센터 (순천시 중앙로 232),(평일)10:00~17:00 (5.3~7.31)
101,전라남도,순천시,팔마종합운동장 (순천시 팔마로 333),(평일)10:00~17:00 (5.3~7.31)
102,전라남도,22개 시군,이동형 버스 (22개 시군),(평일)09:00~18:00 (5.3~10.29)
103,전라북도,완주군,이서문화체육센터 (전북 완주군 이서면 반교로 30),(평일)13:30~17:30 (5.3~)
104,전라남도,여수시,이동형버스,(평일)10:00~18:00 (주말)10:00~18:00(5.10~5.16)
105,충청북도,천안 서북구,천안시청 보서홀 아래 (천안시서북구보건소 선별진료소 인근),(평일)09:00~18:00 (주말)09:00~18:00 (12-13 소독)
106,충청남도,아산시,이순신 종합운동장 10번 주차장 (아산시 남부로 370-24),(평일)09:00~17:00 (주말)09:00~17:00 (12-13 미운영)
107,세종시,어진동,세종시 어진동 복합커뮤니센터 (세종시 다솜1로 31번지),(평일)09:30~17:00 (주말)09:30~17:00
108,대전광역시,중구,한밭종합운동장 임시선별검사소 (대전광역시 중구 대종로 373),(평일)09:00~18:00 (주말)09:00~18:00
109,충청남도,논산시,논산시보건소 선별진료소 옆 (논산시 논산대로 382),(평일)13:00~17:00
110,대전광역시,서구,관저보건지소 임시선별검사소 (대전광역시 서구 구봉산북로 300),(평일)09:30~17:00 (주말)12:00~16:00
111,세종시,전의면,전의보건지소 (세종시 전의면 만세길 20-12),(평일)09:30~16:00 (12~13:30 미운영)
112,충청남도,서천군,서천군보건소 옆 (서천군 서천읍 사곡길 26),(평일)09:00~18:00 (주말)09:00~18:00
113,대구시,중구,국채보상공원 (대구 중구 국채보상로 670),(평일)10:00~16:00(주말)10:00~16:00
